Time,Door,Car,Speed
23:35,3640,31.0,90.0
23:35,3590,31.0,0.0
23:35,3640,31.0,63.0
18:10,0029,31.0,90.0
18:10,0005,31.0,91.0
18:10,0061,31.0,93.0
18:10,0017,31.0,90.0
18:10,0099,31.0,28.0
18:10,0029,31.0,90.0
18:10,0147,31.0,28.0
18:10,0174,31.0,43.0
18:10,0061,31.0,90.0
18:10,0153,31.0,68.0
18:10,0099,31.0,90.0
18:10,0213,31.0,46.0
18:10,0147,31.0,93.0
18:10,0153,31.0,36.0
18:10,0233,31.0,82.0
18:10,0256,31.0,75.0
18:10,0182,31.0,28.0
18:10,0293,31.0,90.0
18:10,0248,31.0,79.0
18:10,0340,31.0,97.0
18:10,0264,31.0,86.0
18:10,0293,31.0,82.0
18:10,0305,31.0,82.0
18:10,0376,31.0,21.0
18:10,0447,31.0,36.0
18:10,0413,31.0,14.0
18:10,0339,31.0,79.0
18:10,0467,31.0,39.0
18:10,0376,31.0,50.0
18:10,0492,31.0,93.0
18:10,0413,31.0,90.0
18:10,0511,31.0,97.0
18:10,0467,31.0,93.0
18:10,0532,31.0,86.0
18:10,0492,31.0,79.0
18:10,0532,31.0,3.0
18:10,0557,31.0,46.0
18:10,0511,31.0,75.0
18:10,0584,31.0,61.0
18:10,0532,31.0,39.0
18:10,0557,31.0,10.0
18:10,0557,31.0,21.0
18:10,0633,31.0,39.0
18:10,0608,31.0,57.0
18:10,0664,31.0,57.0
18:10,0578,31.0,50.0
18:10,0579,31.0,57.0
18:10,0681,31.0,90.0
18:10,0633,31.0,90.0
18:10,0699,31.0,93.0
18:10,0664,31.0,90.0
18:10,0750,31.0,93.0
18:10,0681,31.0,97.0
18:10,0880,31.0,90.0
18:10,0699,31.0,100.0
18:10,0610,31.0,93.0
18:10,0928,31.0,79.0
18:10,0750,31.0,97.0
18:10,0956,31.0,32.0
18:10,0880,31.0,82.0
18:10,0928,31.0,93.0
18:10,0979,31.0,64.0
18:10,1045,31.0,97.0
18:10,0950,31.0,90.0
18:10,1123,31.0,100.0
18:10,0980,31.0,97.0
18:10,1292,31.0,100.0
18:10,1045,31.0,97.0
18:10,1389,31.0,104.0
18:10,1123,31.0,100.0
18:10,1465,31.0,104.0
18:10,1292,31.0,104.0
18:10,1572,31.0,104.0
18:10,1389,31.0,104.0
18:10,1621,31.0,104.0
18:10,1465,31.0,100.0
18:10,1664,31.0,104.0
18:10,1572,31.0,100.0
18:10,1699,31.0,97.0
18:10,1621,31.0,97.0
18:10,1774,31.0,90.0
18:10,1664,31.0,90.0
18:10,1802,31.0,93.0
18:10,1699,31.0,72.0
18:10,1839,31.0,100.0
18:10,1774,31.0,104.0
